	//AC 스크립트																	                      	주의! 과제코드가 65526을 넘어가면 안됨																													
	//	1302		1302	1302				1102	1102	1102	1102	1102	1102	1102	1102	1102																		1102	1102	1102	1102										
	//인덱스	그룹명	지역명	그룹순서	지역순서	과제명	툴팁	아이콘	시작날짜	시작시간	종료날짜	종료시간	클래스구분	선행AC코드1	선행AC코드2	선행AC코드3	선행AC코드4	        	과제코드1	과제수량1	과제코드2	과제수량2	과제코드3	과제수량3	과제코드4	과제수량4	과제코드5	과제수량5	과제코드6	과제수량6	과제코드7	과제수량7	과제코드8	과제수량8	과제코드9	과제수량9	과제코드10	과제수량10	보상종류1	보상코드1	보상종류2	보상코드2						
	Index	CroupString	LocationString	CroupOrder	LocationOrder	ObejctString	ToolTipString	Icon	StartDate	StartTime	EndDate	EndTime	Class	ParentACCode1	ParentACCode2	ParentACCode3	ParentACCode4	ObjectType	ObjectCode1	ObjectNum1	ObjectCode2	ObjectNum2	ObjectCode3	ObjectNum3	ObjectCode4	ObjectNum4	ObjectCode5	ObjectNum5	ObjectCode6	ObjectNum6	ObjectCode7	ObjectNum7	ObjectCode8	ObjectNum8	ObjectCode9	ObjectNum9	ObjectCode10	ObjectNum10	RewardType1	RewardCode1	RewardType2	RewardCode2						
	//야수들의숲 AC																																															
	1	2927	50001	1	1	90650	92650	33836	0	0	0	0	0	0	0	0	0	1	8046	1	8047	1	8048	1	8049	1	8050	1	0	0	0	0	0	0	0	0	0	0	2	200	0	0	//보물열쇠 수집			과제종류		
	2	2927	50001	1	1	90651	92651	33807	0	0	0	0	0	0	0	0	0	1	8015	1	8016	1	8017	1	8018	1	8019	1	8020	1	8021	1	8022	1	0	0	0	0	2	200	0	0	//보물지도 수집			1 아이템 사용		
	3	2927	50001	1	1	90652	92652	200017	0	0	0	0	0	0	0	0	0	8	49120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	100	0	0	//보물상자 수집			ObjectCode에 아이템코드 입력		
	4	2927	50001	1	1	90653	92653	33314	0	0	0	0	0	0	0	0	0	1	8081	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	150	0	0	//아이템A(숲의 유물 20개) 수집			아이템스크립트에서 해당 아이템 AC코드에 1 입력		
	5	2927	50001	1	1	90654	92654	33801	0	0	0	0	0	0	0	0	0	1	8001	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	200	0	0	//아이템B(야수의 증표 10개) 수집			ObjectNum에 수집 수량 입력		
	6	2927	50001	1	1	90655	92655	33802	0	0	0	0	0	0	0	0	0	1	8002	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	500	0	0	//아이템C(야수왕의 족쇄 10개) 수집					
	7	2927	50001	1	1	90656	92656	33803	0	0	0	0	0	0	0	0	0	1	8003	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	250	0	0	//아이템D(가이던스의 구원신호 10개) 수집			2 몬스터 사냥		
	8	2927	50001	1	1	90657	92657	33804	0	0	0	0	0	0	0	0	0	1	8005	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	350	0	0	//아이템E(이그니스의 첫번째 지령 10개) 수집			ObjectCode에 NPC코드 입력		
	9	2927	50001	1	1	90658	92658	33806	0	0	0	0	0	0	0	0	0	1	8006	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	550	0	0	//아이템F(마족의 보석 10개) 수집			NPCInfo에서 해당 NPC AC코드에 1 입력		
	10	2927	50001	1	1	90659	92659	32815	0	0	0	0	0	0	0	0	0	3	101	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	800	0	0	//캡틴 배기			ObjectNum에 사냥 수량 입력		
	11	2927	50001	1	1	90660	92660	32817	0	0	0	0	0	0	0	0	0	2	2131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	700	0	0	//보스몬스터A 사냥					
	12	2927	50001	1	1	90661	92661	32817	0	0	0	0	0	0	0	0	0	2	2141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	700	0	0	//보스몬스터B 사냥			3 몬스터군 사냥		
	13	2927	50001	1	1	90662	92662	74633	0	0	0	0	0	0	0	0	0	2	2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	400	0	0	//럭키몬스터A 사냥			ObjectCode에 AC참조방식 입력		
	14	2927	50001	1	1	90663	92663	74633	0	0	0	0	0	0	0	0	0	2	2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	700	0	0	//럭키몬스터B 사냥			NPCInfo에서 해당 NPC AC코드에 2 입력.		
	15	2927	50001	1	1	90664	92664	32814	0	0	0	0	0	0	0	0	0	2	2001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	500	0	0	//AC몬스터 사냥			AC참조방식에 고유코드를 입력		
	16	2927	50001	1	1	90665	92665	32753	0	0	0	0	0	0	0	0	0	6	60001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000	0	0	//저주받은탑 클리어			ObjectNum에 사냥 수량 입력		
	17	2927	50001	1	1	90666	92666	33121	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	800	0	0	//메인미션 클리어					
	18	2927	50001	1	1	90667	92667	34098	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	300	0	0	//서브미션1 클리어			4 미션 클리어		
	19	2927	50001	1	1	90668	92668	34098	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	300	0	0	//서브미션2 클리어			ObjectCode에 맵코드 입력		
	20	2927	50001	1	1	90669	92669	34098	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	300	0	0	//서브미션3 클리어			ObjectNum에 클리어 횟수 입력		
	21	2927	50001	1	1	90670	92670	33315	0	0	0	0	0	0	0	0	0	7	201	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000	0	0	//퀘스트 완료					
	22	2927	50001	1	1	90671	92671	33258	0	0	0	0	0	0	0	0	0	5	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20002	0	0	//달성률 10% 달성			5 달성률 달성		
	23	2927	50001	1	1	90672	92672	33258	0	0	0	0	0	0	0	0	0	5	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20004	0	0	//달성률 20% 달성			ObjectCode에 0 입력		
